,Adj_R,Num_Cap_coef,IC,Rank_IC,Factor_Ret
2013-02-28,0.3420494243734895,-0.018196938373092542,0.010801143962450478,0.03614989744640291,0.0009238945340532304
2013-03-31,0.1716658453384341,-0.014813290499991326,0.02273998398777337,0.0347552746657303,0.0024400398034696647
2013-04-30,0.04776314306856744,-0.002984226277992135,0.06376495831294605,0.06347261841596906,0.005846787902042177
2013-05-31,0.6999068428993622,-0.03704905268588451,-0.003626675915656787,-0.06111672739197134,-0.00010204111741494754
2013-06-30,0.684446327763512,-0.043626124794646615,0.016796196277957934,0.041135320287087156,0.0021236208384446736
2013-07-31,0.41305358519435154,-0.02632491956803409,-0.012328040395228097,-0.007804500900674942,-0.0019267341902217145
2013-08-31,0.2568424232561718,0.0014043025643689696,0.049858277837327596,0.05015169471127447,0.006386484607743174
2013-09-30,0.32923561290512926,-0.030009864716140523,0.02227414461843964,0.047646831321932516,0.0027869914298637864
2013-10-31,0.16410911221632307,-0.03045448585024795,0.0030738013510263023,0.05629416819884659,0.0004991849293410023
2013-11-30,0.4627198592597468,0.022656388246137266,0.07455795698177947,0.04494382824003184,0.008912178710640602
2013-12-31,0.06013823956031905,0.04016430248403722,0.002654439683792259,0.006520161006020632,0.0003931886041909855
2014-01-31,0.39925122615153974,0.021847440422242872,0.09496857333258064,0.09966631334819083,0.015711965507035967
2014-02-28,0.13226286719362446,0.0727621755977948,-0.014660045666411667,-0.031760214301168856,-0.00225591409446105
2014-03-31,0.20265410983049303,0.0518118643262627,-0.06016824059641236,-0.06722775047808346,-0.006623337824038015
2014-04-30,0.03974777161915788,0.0033598953800198844,-0.018426480760935806,-0.04004123148613121,-0.001750010318905377
2014-05-31,0.3534567570134928,-0.024977882781182112,0.06750254471747473,0.08427319905893504,0.006253050889707325
2014-06-30,0.3587586547032795,-0.08449691110475883,0.05954314662248562,0.057811544183987214,0.0057849640929716105
2014-07-31,0.30161012832233347,-0.08759351442433216,-0.034718037442854885,-0.0433811758597621,-0.0041222757485321095
2014-08-31,0.3790507540744906,-0.05883262833962809,-0.11002150792769394,-0.06555782952853632,-0.011169290026868686
2014-09-30,0.49929600832989374,-0.15033765078535674,-3.7028443861129364e-06,0.004480947372818905,0.0003029130815613698
2014-10-31,0.02172576051717745,-0.08788970723911058,-0.043074721954417396,-0.03558687990152836,-0.0038854748273205505
2014-11-30,0.22275811406919976,-0.14422786491765568,0.03118772962547768,0.04765277358684231,0.00393218484020037
2014-12-31,0.42376684268537856,-0.10184938566813638,-0.08616079261882557,-0.09868713171854816,-0.012703391981349775
2015-01-31,0.4814136620745292,-0.08890689130984011,0.08436718047851523,0.07371952862257496,0.010038888591146964
2015-02-28,0.43007720320508225,-0.07428812306142256,0.06573538100250599,0.03234363306022574,0.007872206322483987
2015-03-31,0.6082150827714417,-0.016509709294925914,0.05258306173217432,0.005731601189835281,0.008250263339397674
2015-04-30,0.33783630150822896,-0.048459633199697975,-0.014010442372252263,0.021804512182937656,-0.003153663923808667
2015-05-31,0.49012859519260854,-0.03491183759620761,0.018643309482767326,0.0208697207238399,0.007660378671955188
2015-06-30,0.24159893741108174,-0.0367108072518964,-0.1227631062106479,-0.13195956623376423,-0.02849876205048167
2015-07-31,0.5209840522936623,-0.053218493200192195,-0.04624651953619463,-0.056964758436627475,-0.009117403919642705
2015-08-31,0.5832840137380975,-0.048948307850733265,-0.10238998924942558,-0.11824066202011058,-0.015372085736439285
2015-09-30,0.14887567980131933,-0.06657054932173934,0.13111549329850347,0.13963103570473592,0.01808487206395196
2015-10-31,0.6952608405402887,-0.023084904921483348,0.05242265803555924,0.02402395121192534,0.008538769999163276
2015-11-30,0.36038887466619274,-0.0285145845508653,0.1087902717671301,0.0749780757618851,0.021075512140869012
2015-12-31,0.23073372966459993,-0.029274913185971387,-0.0018212260241680994,0.018865901684786877,0.00018006455934820075
2016-01-31,0.8571744428330931,-0.03786215098745715,-0.0921022407988602,-0.09396992300527678,-0.012437714001300042
2016-02-29,0.12471072876849831,0.00281838296847295,-0.006496637829758452,-0.03716530255446694,-0.0008643323618374552
2016-03-31,0.7254517204271469,0.010897866596903368,0.016723801789832137,0.027033852876130443,0.003315218655422272
2016-04-30,0.037884473029167975,0.07138349505847671,0.014667000476437016,0.010203604215465041,0.002043874401742182
2016-05-31,0.1263259673267232,-0.001455601305845945,0.024343190602439935,-0.0019765986421615106,0.0026026938849076004
2016-06-30,0.32548103552764496,0.03496509543184655,0.010761415511932533,0.02666975743736689,0.0015957440366244787
2016-07-31,0.17356964623562654,0.03697562370092707,-0.04296118038102247,-0.05701655331585623,-0.00426141197683668
2016-08-31,0.23706660960086945,0.05216248537576343,-0.03685289681556009,-0.03128089133790585,-0.0024061753363988376
2016-09-30,0.11185585977202772,0.012573830264801283,-0.026838443449373927,-0.023541915200895915,-0.001991163087487019
2016-10-31,0.21106759914473217,0.059744118272726465,0.017460709392412684,0.020651366512849018,0.0009965580979317808
2016-11-30,0.03861111774759218,0.025130046164130594,0.020638655978428927,0.0186737215980511,0.0015345353547063726
2016-12-31,0.4658647439249466,0.020747958229083232,0.0781656077180545,0.07415539269154726,0.005851695182122991
2017-01-31,0.20739339838321236,0.01901415796895568,0.046934073562359874,0.05235416225327969,0.003186148473782132
2017-02-28,0.3712946361180752,0.0631678560714768,0.033074955432129946,0.0443910771847924,0.0018007131252113662
2017-03-31,0.11670294522548108,0.07048840756049081,-0.008965260491258602,0.014544895101486106,-0.0007812618785385606
