,Adj_R,Num_Cap_coef,IC,Rank_IC,Factor_Ret
2013-02-28,,,0.04398402396394288,0.054854742214817544,0.004002187034321465
2013-03-31,,,0.025666900662366886,0.03918496898529873,0.0026023515677601793
2013-04-30,,,0.03140888543142179,0.01490421891685708,0.002751397564044652
2013-05-31,,,-0.011088871101958617,-0.0526220465677441,-0.001429748498751833
2013-06-30,,,0.04201103583164156,0.06724182224588217,0.0045246413400413564
2013-07-31,,,0.018224864312864606,0.014117291115671046,0.0019352568455583826
2013-08-31,,,0.02806184145812863,0.05000871808248296,0.0033311406318747793
2013-09-30,,,0.06679599161027325,0.05265409473448042,0.007979295422752344
2013-10-31,,,-0.0013005551088379984,0.04170489251326481,6.68397011902625e-05
2013-11-30,,,0.049791739671006766,-0.001572230856524624,0.00531994311830933
2013-12-31,,,-0.01745317571530842,-0.024812134475238223,-0.0014202237241901622
2014-01-31,,,0.09293340592613195,0.0925488149918118,0.013826924668284916
2014-02-28,,,-0.001996067891742459,-0.005114574089269312,-0.0005383789315126964
2014-03-31,,,-0.034729190220287885,-0.06918713602113326,-0.00333317007393584
2014-04-30,,,-0.067623726444733,-0.07613143148076289,-0.006312699456702816
2014-05-31,,,0.05212557673852522,0.05428666565680718,0.004789926242456442
2014-06-30,,,0.03862740241883093,0.04516802868871174,0.00421688158262221
2014-07-31,,,-0.04803441952649567,-0.04505572869171517,-0.00585106065268718
2014-08-31,,,-0.06732111052310207,-0.010415001862362007,-0.00662065824469006
2014-09-30,,,-0.023753216073812977,0.0017472967321495415,-0.003226344422503954
2014-10-31,,,-0.05993325118003764,-0.048078104581802464,-0.0055489154875223105
2014-11-30,,,-0.009083456003142643,0.002439139239964837,-0.0012798437900553902
2014-12-31,,,-0.06330609962379691,-0.07247279076706224,-0.009221127321324126
2015-01-31,,,0.10333791627000687,0.09363529309574421,0.011779828110592003
2015-02-28,,,0.05342917214517317,0.05767236846881,0.006186436973472199
2015-03-31,,,0.02161933055294751,0.018980593919502114,0.002601270744760151
2015-04-30,,,-0.008890986510199471,0.01232062659123132,-0.0031379694860187383
2015-05-31,,,0.01585977318062481,0.032221628746125365,0.007274353775168869
2015-06-30,,,-0.10955092986559205,-0.14112305083431628,-0.029947442997227996
2015-07-31,,,-0.04543924596517311,-0.04456950147499298,-0.010247892425000373
2015-08-31,,,0.0076541257060682875,-0.11659679750404008,0.0013949343553543454
2015-09-30,,,0.07617329367355757,0.08785354860437831,0.010668676887579689
2015-10-31,,,0.060668971133340056,0.04258532084014697,0.010751957220080235
2015-11-30,,,0.08684579515068098,0.06522917447388285,0.017135037871093002
2015-12-31,,,-0.027604980424409637,-0.019996832348058578,-0.003834015826951752
2016-01-31,,,-0.07069372438460578,-0.04670148312129376,-0.009627719872707777
2016-02-29,,,-0.019252024594206323,-0.04405857687148009,-0.002013594284959495
2016-03-31,,,0.03639529941531674,0.030238401890594284,0.006021707091605643
2016-04-30,,,0.001288480199164,0.0094107319180104,0.00026224214666388957
2016-05-31,,,0.034571816448267366,0.032162572901073896,0.003433207117297735
2016-06-30,,,0.02367063382826655,0.014785171228735523,0.0029036859395402655
2016-07-31,,,-0.056172168539131755,-0.07947441507175576,-0.007107407235587266
2016-08-31,,,-0.013449809648123747,-0.02563144378831418,-0.0007726867195737343
2016-09-30,,,-0.03202503383543956,-0.04741558358011439,-0.0024884344222285606
2016-10-31,,,-0.01764811599930703,0.005228782513972098,-0.0018464541504996347
2016-11-30,,,0.01931566550656364,0.020376403708367578,0.0016312327937038607
2016-12-31,,,0.014210281882211004,0.037477181117111985,0.0011671644402928066
2017-01-31,,,0.006978226566197595,0.020322617642193522,0.0006238711230731342
2017-02-28,,,0.011548930543564304,0.03596699691864767,0.0009816459499308494
2017-03-31,,,0.04867415955656133,0.08012300002237023,0.003940702042934742
2017-04-30,,,0.05498741435778604,0.03730233482363564,0.006293858179643637
2017-05-31,,,0.015135601627258287,0.009189720193437821,0.0012493681906351776
2017-06-30,,,0.02986624038818156,0.018178291740093108,0.0023508014553841237
2017-07-31,,,0.04837023486321331,0.044449591020183206,0.005407746402022144
2017-08-31,,,0.015164879577891132,0.009958633099229987,0.0011079227885215036
2017-09-30,,,0.047898957717054456,0.02229656458451837,0.004605058023512979
2017-10-31,,,0.12141149684952472,0.12474280881882402,0.01084283119183871
2017-11-30,,,-0.02343989892136019,-0.03283859967499861,-0.0020490783091491062
2017-12-31,,,0.07770059260464422,0.04679832536521454,0.006431231971228263
2018-01-31,,,0.0036331813745740793,-0.012097324928014965,0.0004599560106766159
2018-02-28,,,0.05268267681182841,0.04453575185826761,0.004870600512418966
2018-03-31,,,0.03834166662096067,0.05993135732772274,0.004639785336429022
2018-04-30,,,0.057264228066044025,0.08105507318314728,0.005461501325203316
2018-05-31,,,0.05018172480680773,0.04386508778457606,0.005948808889547625
2018-06-30,,,0.05463294911240508,0.062226060606801525,0.005609300224493215
