,num_factor,mkt_cap,医药生物,机械设备,电气设备,电子,农林牧渔,非银金融,有色金属,传媒,房地产,化工,建筑材料,通信,商业贸易,计算机,公用事业,建筑装饰,纺织服装,轻工制造,汽车,食品饮料,交通运输,国防军工,综合,休闲服务,采掘,家用电器,银行
2013-01-31,0.263278045167843,-2.15121816806028,5.756419378017282,3.5184156522586436,4.570233782039764,7.3187346613760305,1.205461741768893,0.6161618107042143,0.07769671524517052,5.926867526623868,0.977967900748043,3.6392695867237395,-0.23823746278473493,2.680714247712234,0.6738618075763649,5.699239775607399,6.44693023097915,2.746992165171408,0.864827827926795,2.0120913227043604,1.8670980267965376,3.226116737099146,-0.08788909395100275,1.3676186590555295,1.5089744341578577,-0.32069113368245433,-0.22439016818947305,1.9036748419764882,-0.31928180228076364
2013-02-28,0.5756332231853482,1.9187621553993404,2.6604903094179635,-3.2922417671098705,-1.2230985862497519,3.2448610097120887,-4.243825463867219,-2.6046690686446965,-3.7342895474204916,-1.8577975169361727,-4.491260075272025,-1.3800297541789814,-2.8441319024879856,0.9519491137667042,-1.5393287925058279,-0.8281418070560739,-0.9218951633368668,-3.002212830251414,-2.41579147015369,-1.3018602676244617,-2.6186540895922286,-0.9542225710938266,-0.7535517374550935,-1.979020461187123,-0.639742554599168,-0.3290062730945092,-0.4060906800617873,0.8965984525037102,-1.1487359449173093
2013-03-31,1.504645574135438,0.23829573536078985,-2.8087449645445006,-2.2859072613118743,-0.7139564747977323,-0.28335485683861644,-0.42671439879013906,0.008372343435615822,-2.0967560528112954,1.4430139925850651,0.8937239103691604,-2.0928291910583368,0.7751608399180038,-0.9969343036143649,0.3042674448649017,-0.06856780418370066,-1.2840658765983495,-0.026427458423735044,-1.717432180172765,0.6360139826646443,1.2622986683035862,-1.9925737989792296,-0.3436677723300984,-2.5866160372771225,0.537209468432403,-1.3317190754290424,1.2507570572862474,2.1594790101210823,-0.4412755394036978
2013-04-30,-0.020131726039521156,-4.671015828033862,9.08530776029861,11.506103214828077,8.23321003137278,13.596453782633748,3.95438886813433,1.632464623356835,5.463726754317667,6.346911116785995,5.3085417037633285,7.545481938197472,3.5619675857667263,8.291043642449104,4.6642042956549705,13.67944683994239,8.653441134137307,6.857628906105222,4.035823923737861,4.936165420753983,6.636544344938443,4.125429892800346,3.3550277419366004,4.604782695772506,1.366331422689445,1.844148301199101,1.6737679026676513,5.049365188564498,0.808842402989488
2013-05-31,0.5118150581174473,1.2375783124325688,-7.829823899971092,-11.083921806781412,-8.375426757853637,-9.050120511371002,-7.272118925528706,-3.138725255364618,-9.546450697653126,-1.9487136081509149,-5.520693804044077,-12.571771372124768,-5.145336566357336,-3.2973858364743447,-5.074646651947646,-6.379960949438939,-3.4213848940471236,-7.302486051090181,-7.005533810941544,-7.346698764736115,-8.452657484527784,-5.707624504319637,-3.4290984771118564,-5.123623035441439,-1.5217166771758226,-3.655216780364631,-4.827438455073662,-5.926806738200348,-2.1625675208702084
2013-06-30,-0.3472112026051777,-5.108697069974223,7.210818166503025,4.8070115307626295,3.7264311987214653,5.442281334658884,1.358406245180283,1.132976059447049,1.6104716945395467,7.8382935962697555,0.9605734790547271,2.8803684810736048,1.5757205001962127,3.4194225877058524,1.7036333727557522,9.777927744833537,3.4667451322021163,-0.4700918048602097,1.2429394190268144,4.026737399352353,2.125771232453421,2.3685189147736754,0.48340876209513345,0.9484725652739299,2.1252267091255312,2.096705704423874,0.134086516252143,2.926523650366139,0.2700720228012572
2013-07-31,1.183122710814072,-2.670085742519986,1.8169615787378273,2.7622174821953487,2.859142870010525,3.689504328866299,2.6147794132994893,0.8276065393193698,3.164640078051989,4.070120242635108,3.4010225137705534,4.616268630300116,1.1166858002020332,2.9386083906382536,3.7164161698244533,6.319542571010919,-0.004389521686432949,2.476092312363646,1.1973322388784586,2.6291481378033295,3.2250079992843697,1.6634226442043383,2.3465817524838766,0.8339634106239983,1.0158466559631072,1.7370892666393605,0.8668599990504064,1.6760678002183031,0.8701664715073028
2013-08-31,0.5076426198943844,-1.7247874245566397,6.635783712333676,2.4504680393268328,4.5192116583631075,2.8265213049109628,1.0829042519352645,0.4180849122680029,0.31126150105124634,6.447500563465291,-0.34786540876783467,2.561588194763491,0.6192216376130472,2.673952281614089,5.961595126134151,7.120490364768532,2.5376214378047472,-0.3034539763708455,2.640489269024312,2.5933306088246644,0.6505985987833295,3.80717506186547,1.0451650709357787,0.7874136255387763,0.35682037635920205,1.5286820085482518,0.919782594359374,4.852349985532554,0.37843775952204395
2013-09-30,0.1110752923099566,-2.065086236734657,-2.8120253748082416,0.22024723572852195,-1.585401012695691,-4.707155521628847,0.1419044228324166,0.03133021938694322,-2.160768944893284,-5.456730355817361,-1.1458940186983724,-1.5229964321912763,0.7450628652493658,-3.149729894926551,-1.0984943805130007,-4.98805905575174,0.5168000502115738,-0.30335370040053367,-1.21191870573404,-1.7968471560782933,1.6160561724248814,-2.060635203591483,-0.9488056144520202,0.525453221304888,-0.17730184641192212,-1.0810584050916956,-0.43236188989431235,1.1279633638949242,0.5470959321705747
2013-10-31,1.6972582255530089,-6.394513920905633,4.180519239794769,5.891902411120342,4.202115000184605,8.494708141876048,3.337672401690678,1.7375744089012737,2.3704355391457295,4.155126097616375,-0.057896983283186175,6.569161762128594,1.7694229817589684,5.7297798704267935,1.4790575115579057,9.992154175304776,2.4676292638381385,2.8091723324339513,1.3516410420775637,3.6189773533345937,2.392491775506732,2.7740296974436442,1.991141540906047,3.6197529204034296,-0.12131086209620219,0.9377347771660581,2.264356317564718,4.87738596993586,0.6225218416658362
