,Adj_R,Num_Cap_coef,IC,Rank_IC,Factor_Ret
2013-02-28,,,0.03802314786986756,0.0468136352412585,0.0034186683122439483
2013-03-31,,,0.03180417300758997,0.050160667598838166,0.003135446636066087
2013-04-30,,,0.03270586841563711,0.03424926107659087,0.00281474301838844
2013-05-31,,,-0.012532027252104805,-0.04745672827394543,-0.0018706362698993851
2013-06-30,,,0.019731776107097625,0.048750643141210234,0.002395760663737918
2013-07-31,,,0.02214339145681868,0.022812191739641607,0.0025639831360909104
2013-08-31,,,0.004059037123870229,0.0070336957935522495,0.00010976683828851149
2013-09-30,,,0.06764173398135892,0.05141957871617051,0.007901157440250356
2013-10-31,,,0.012619551543476267,0.05523711569628511,0.0015512762479665911
2013-11-30,,,0.05202769314081609,-0.010621271547521195,0.005567877999542182
2013-12-31,,,0.015553587170074809,0.006879192609736072,0.0015367090473117745
2014-01-31,,,0.1074905597680794,0.11142452437470673,0.015782876442182993
2014-02-28,,,0.00816000609615965,-0.01939825384940158,0.0008751939088565252
2014-03-31,,,-0.06458502061336999,-0.078460180430864,-0.006455891622289229
2014-04-30,,,-0.04657541896283017,-0.05407570439637469,-0.0042777848103956045
2014-05-31,,,0.07525876629037286,0.06894620116313756,0.007025332898874791
2014-06-30,,,0.0315966266152965,0.028651681309299817,0.003443213237746107
2014-07-31,,,-0.04189027108833863,-0.04040985089544677,-0.0052420919551518785
2014-08-31,,,-0.08355342973183114,-0.017032470982711347,-0.008127203595718878
2014-09-30,,,-0.0208504386681789,-0.004485263797516075,-0.0026849946693572315
2014-10-31,,,-0.041845751942983164,-0.03372425429209374,-0.0038578128696307654
2014-11-30,,,-0.037457276059239805,-0.01034701063102627,-0.005085188713444655
2014-12-31,,,-0.0666040860502078,-0.07764927763227313,-0.00963871233543224
2015-01-31,,,0.10803208250018649,0.09687924915000302,0.01181462975614568
2015-02-28,,,0.0319549878416565,0.04273654572786062,0.003470054597781584
2015-03-31,,,0.03353721478388881,0.03553477213685738,0.005195142820782409
2015-04-30,,,-0.02486845895334623,-0.004257433236612005,-0.007687022970527616
2015-05-31,,,0.021768480650844007,0.0444394076715735,0.010035409069161633
2015-06-30,,,-0.09110146721156577,-0.13368986784359815,-0.02501497957161118
2015-07-31,,,-0.03790744310673899,-0.03415617668204078,-0.008780160482480115
2015-08-31,,,0.0271502026215044,-0.08442244878433527,0.006116964649682179
2015-09-30,,,0.09111003509424216,0.07878002752368135,0.012441442736089808
2015-10-31,,,0.05090024976837317,0.04837479201770291,0.008942913228698484
2015-11-30,,,0.11064413827978668,0.08027345354892781,0.021330398765500767
2015-12-31,,,-0.03818604356604667,-0.04114422464432085,-0.0054411772428693325
2016-01-31,,,-0.05604130217845567,-0.029136026657043155,-0.008742613468207783
2016-02-29,,,-0.00926991915134089,-0.03379034196532878,-0.0010928937186118625
2016-03-31,,,0.02319855561857506,0.021844257082417863,0.004648663735400738
2016-04-30,,,-0.013220410008733216,-0.014246873027694937,-0.002808573625833095
2016-05-31,,,0.03262184165745826,0.02814483064245314,0.0033972583342060355
2016-06-30,,,0.028311230117373888,0.02652284957583237,0.003552099166426623
2016-07-31,,,-0.06435500062665205,-0.09294125450695026,-0.008120993818436397
2016-08-31,,,0.0021871794159854453,-0.02032492339966053,0.0006481981928112709
2016-09-30,,,-0.059834614806468935,-0.06665430458369084,-0.004626349415893217
2016-10-31,,,-0.002101897867840544,0.023218792426746383,-0.00011041372291414994
2016-11-30,,,0.020377936574708426,0.01251521640526547,0.0019605598595899684
2016-12-31,,,0.005649827548452365,0.02824771278664373,0.00025845458298578896
2017-01-31,,,0.027340008822368242,0.046074287623671176,0.0021065196654904694
2017-02-28,,,0.004235762025373966,0.025680721384407725,0.0002806796343952705
2017-03-31,,,0.024390866535961984,0.04614210613792804,0.0019510913107138015
2017-04-30,,,0.03671677713070691,0.04006003526385028,0.004176313832681977
2017-05-31,,,-0.005661922937761936,-0.007002386380343319,-0.0005786419737435768
2017-06-30,,,0.037004840281780006,0.03824449955341236,0.0029660992204447578
2017-07-31,,,0.05548164722921727,0.051361872736365145,0.006256875306328095
2017-08-31,,,0.006312926295919547,0.011366896011236034,0.0004773365574392862
2017-09-30,,,0.04350048922552108,0.019395061351868473,0.004301831718314059
2017-10-31,,,0.0992837337963347,0.11453713569717949,0.008793157052926909
2017-11-30,,,-0.01258119073016216,-0.03739653821040362,-0.0011559594430144446
2017-12-31,,,0.0842611782396532,0.052351864010099385,0.006609537983451906
2018-01-31,,,0.006188550438589286,-0.01093637380943934,0.0006623090272218103
2018-02-28,,,0.050280126426404344,0.04831298249572862,0.0046331128955712595
2018-03-31,,,0.031125299043422715,0.06240458772613836,0.0038392807781703476
2018-04-30,,,0.061521303606423876,0.07892329858818929,0.00584402430367014
2018-05-31,,,0.028029389054737876,0.0276945871215336,0.0033223067404667336
2018-06-30,,,0.060167217204409706,0.06173217479032295,0.006026402740303255
