Stk_code,plainNum
002620.SZ,39
000550.SZ,39
002368.SZ,39
000022.SZ,39
002397.SZ,39
002586.SZ,39
000978.SZ,39
300018.SZ,38
300365.SZ,38
300470.SZ,38
002458.SZ,38
300067.SZ,38
300197.SZ,38
000488.SZ,38
300568.SZ,38
002336.SZ,38
002298.SZ,38
300293.SZ,37
002736.SZ,37
300022.SZ,37
002275.SZ,37
000758.SZ,37
000501.SZ,37
300450.SZ,37
300145.SZ,37
300457.SZ,37
002582.SZ,37
002497.SZ,37
300037.SZ,37
002060.SZ,37
002101.SZ,37
000046.SZ,37
002349.SZ,37
002325.SZ,37
000601.SZ,37
002536.SZ,37
002431.SZ,37
002111.SZ,36
300324.SZ,36
300181.SZ,36
002535.SZ,36
000917.SZ,36
002450.SZ,36
002203.SZ,36
002074.SZ,36
002190.SZ,36
300459.SZ,36
002413.SZ,36
002267.SZ,36
002282.SZ,36
300352.SZ,36
000759.SZ,36
300094.SZ,36
002382.SZ,36
300512.SZ,35
300128.SZ,35
000800.SZ,35
300131.SZ,35
000852.SZ,35
600355.SH,35
300616.SZ,35
002713.SZ,35
300266.SZ,35
002389.SZ,35
002642.SZ,35
300009.SZ,35
002013.SZ,35
300223.SZ,35
000055.SZ,35
000651.SZ,35
002149.SZ,35
002054.SZ,35
002461.SZ,35
300330.SZ,35
002781.SZ,35
002348.SZ,35
000920.SZ,35
000949.SZ,34
300282.SZ,34
300224.SZ,34
002421.SZ,34
002093.SZ,34
002116.SZ,34
300036.SZ,34
002320.SZ,34
002527.SZ,34
002507.SZ,34
000685.SZ,34
000056.SZ,34
000998.SZ,34
002706.SZ,34
000523.SZ,34
000656.SZ,34
002154.SZ,34
002312.SZ,34
300300.SZ,34
300117.SZ,34
002557.SZ,34
002345.SZ,34
002649.SZ,33
000876.SZ,33
002273.SZ,33
002080.SZ,33
300065.SZ,33
002681.SZ,33
002050.SZ,33
300019.SZ,33
002654.SZ,33
002351.SZ,33
300286.SZ,33
300484.SZ,33
000823.SZ,32
002650.SZ,32
300292.SZ,32
000701.SZ,32
000423.SZ,32
601098.SH,32
002546.SZ,32
000528.SZ,32
002470.SZ,32
002427.SZ,32
000541.SZ,32
300011.SZ,32
002384.SZ,32
300226.SZ,32
002332.SZ,32
600176.SH,31
000700.SZ,31
002126.SZ,31
002031.SZ,31
002415.SZ,31
000709.SZ,31
000883.SZ,31
002276.SZ,31
300408.SZ,31
002137.SZ,31
300416.SZ,31
002603.SZ,31
300066.SZ,31
300284.SZ,31
002177.SZ,31
300217.SZ,31
603600.SH,31
002701.SZ,30
002378.SZ,30
002678.SZ,30
002387.SZ,30
002066.SZ,30
002209.SZ,30
300187.SZ,30
002529.SZ,30
002407.SZ,30
000880.SZ,30
000572.SZ,30
300400.SZ,30
300165.SZ,30
002117.SZ,30
300039.SZ,30
002053.SZ,30
300298.SZ,30
002640.SZ,29
002669.SZ,29
002747.SZ,29
000592.SZ,29
002591.SZ,29
002561.SZ,29
300051.SZ,29
000799.SZ,29
002278.SZ,29
000407.SZ,29
300048.SZ,29
002658.SZ,29
002792.SZ,29
000728.SZ,29
002181.SZ,29
000910.SZ,29
300425.SZ,29
002526.SZ,29
002048.SZ,29
000868.SZ,29
300264.SZ,29
300263.SZ,29
300488.SZ,29
000558.SZ,29
002369.SZ,29
300147.SZ,28
000727.SZ,28
002515.SZ,28
300155.SZ,28
300376.SZ,28
000851.SZ,28
002159.SZ,28
300027.SZ,28
002616.SZ,28
002483.SZ,28
300078.SZ,28
002003.SZ,28
002474.SZ,28
002016.SZ,28
300077.SZ,28
002374.SZ,28
002026.SZ,28
002702.SZ,28
002365.SZ,28
000705.SZ,28
002612.SZ,28
000829.SZ,27
000810.SZ,27
002609.SZ,27
002509.SZ,27
002252.SZ,27
300020.SZ,27
300318.SZ,27
002078.SZ,27
300275.SZ,27
002543.SZ,27
300134.SZ,27
002506.SZ,27
000429.SZ,27
300323.SZ,27
002714.SZ,27
000927.SZ,27
002130.SZ,27
002551.SZ,27
300057.SZ,27
002475.SZ,26
300015.SZ,26
000630.SZ,26
000900.SZ,26
002062.SZ,26
002550.SZ,26
002477.SZ,26
002469.SZ,26
002070.SZ,26
002358.SZ,26
300302.SZ,26
002433.SZ,26
002281.SZ,26
000989.SZ,26
002327.SZ,26
002554.SZ,25
002303.SZ,25
002294.SZ,25
002496.SZ,25
002422.SZ,25
300269.SZ,25
300206.SZ,25
000049.SZ,25
002743.SZ,25
002750.SZ,25
000667.SZ,25
000581.SZ,25
300238.SZ,25
000948.SZ,25
002412.SZ,25
002801.SZ,25
300303.SZ,25
002224.SZ,25
000831.SZ,25
002329.SZ,25
300633.SZ,25
000430.SZ,25
000400.SZ,25
002751.SZ,25
300380.SZ,25
300362.SZ,24
000401.SZ,24
002680.SZ,24
000911.SZ,24
002831.SZ,24
002390.SZ,24
002403.SZ,24
000977.SZ,24
300474.SZ,24
002065.SZ,24
000987.SZ,24
300338.SZ,24
300349.SZ,24
002538.SZ,24
300047.SZ,24
300273.SZ,24
300061.SZ,24
002417.SZ,24
000016.SZ,24
002709.SZ,24
300149.SZ,23
002157.SZ,23
300030.SZ,23
300032.SZ,23
002280.SZ,23
002409.SZ,23
300044.SZ,23
002110.SZ,23
300120.SZ,23
300311.SZ,23
000428.SZ,23
000539.SZ,23
002401.SZ,23
000410.SZ,23
002574.SZ,23
300139.SZ,23
300141.SZ,23
002411.SZ,23
300146.SZ,23
000066.SZ,23
002170.SZ,23
002631.SZ,23
002247.SZ,23
300351.SZ,23
002717.SZ,23
002290.SZ,23
002718.SZ,23
300062.SZ,23
300336.SZ,23
300289.SZ,23
300344.SZ,23
300353.SZ,23
002565.SZ,23
002656.SZ,23
300367.SZ,23
002584.SZ,23
002549.SZ,23
002566.SZ,23
002212.SZ,23
601168.SH,23
300417.SZ,23
002615.SZ,23
002395.SZ,22
002011.SZ,22
600894.SH,22
002085.SZ,22
002644.SZ,22
300232.SZ,22
002192.SZ,22
300095.SZ,22
300113.SZ,22
000088.SZ,22
000600.SZ,22
300246.SZ,22
300329.SZ,22
000717.SZ,22
002115.SZ,22
002210.SZ,22
300244.SZ,22
300290.SZ,22
300267.SZ,22
002460.SZ,22
002339.SZ,22
002452.SZ,22
300154.SZ,22
002456.SZ,22
002099.SZ,22
300080.SZ,22
002472.SZ,21
300200.SZ,21
002648.SZ,21
300105.SZ,21
002131.SZ,21
002521.SZ,21
000895.SZ,21
002492.SZ,21
000617.SZ,21
000835.SZ,21
002370.SZ,21
300033.SZ,21
300088.SZ,21
002467.SZ,21
000507.SZ,21
002639.SZ,21
300304.SZ,21
000925.SZ,21
000589.SZ,21
600763.SH,21
002241.SZ,21
002581.SZ,21
300248.SZ,21
300241.SZ,21
000027.SZ,21
300477.SZ,21
300159.SZ,21
002103.SZ,21
002227.SZ,20
002058.SZ,20
002486.SZ,20
002624.SZ,20
300059.SZ,20
000783.SZ,20
002255.SZ,20
300100.SZ,20
002004.SZ,20
002394.SZ,20
002657.SZ,20
002338.SZ,20
002283.SZ,20
300215.SZ,20
000887.SZ,20
002226.SZ,20
002309.SZ,20
300364.SZ,20
002514.SZ,20
002219.SZ,20
002457.SZ,20
000009.SZ,20
002520.SZ,20
002726.SZ,20
002607.SZ,20
002046.SZ,20
300002.SZ,20
002038.SZ,20
300180.SZ,20
300085.SZ,20
002064.SZ,19
300356.SZ,19
300133.SZ,19
300287.SZ,19
300339.SZ,19
000012.SZ,19
000936.SZ,19
000990.SZ,19
600660.SH,19
002082.SZ,19
300103.SZ,19
002512.SZ,19
300240.SZ,19
002432.SZ,19
002673.SZ,19
300001.SZ,19
000777.SZ,19
002233.SZ,19
000065.SZ,19
002230.SZ,19
000792.SZ,19
300125.SZ,19
002314.SZ,19
300056.SZ,18
002676.SZ,18
300010.SZ,18
002425.SZ,18
002682.SZ,18
002079.SZ,18
300322.SZ,18
300110.SZ,18
002502.SZ,18
600008.SH,18
002418.SZ,18
300143.SZ,18
002674.SZ,18
000510.SZ,18
300299.SZ,18
002220.SZ,18
000918.SZ,18
002416.SZ,18
000710.SZ,18
300288.SZ,18
002172.SZ,18
300234.SZ,18
002606.SZ,18
002199.SZ,18
300279.SZ,18
000816.SZ,18
000533.SZ,18
002020.SZ,18
300204.SZ,18
002168.SZ,18
300345.SZ,18
000837.SZ,18
000552.SZ,18
000785.SZ,18
002499.SZ,18
002223.SZ,17
002481.SZ,17
002098.SZ,17
000503.SZ,17
002259.SZ,17
300156.SZ,17
300126.SZ,17
002491.SZ,17
000006.SZ,17
002017.SZ,17
000551.SZ,17
002295.SZ,17
002271.SZ,17
300086.SZ,17
000018.SZ,17
300182.SZ,17
300174.SZ,17
000639.SZ,17
000901.SZ,17
002560.SZ,17
001696.SZ,17
001979.SZ,17
002381.SZ,17
002600.SZ,17
000973.SZ,17
300249.SZ,17
002643.SZ,17
600900.SH,16
000839.SZ,16
000062.SZ,16
002442.SZ,16
300216.SZ,16
002001.SZ,16
000882.SZ,16
000159.SZ,16
002335.SZ,16
000650.SZ,16
000413.SZ,16
002067.SZ,16
000555.SZ,16
300348.SZ,16
002665.SZ,16
002479.SZ,16
002316.SZ,16
600888.SH,16
000607.SZ,15
002357.SZ,15
000893.SZ,15
300116.SZ,15
002232.SZ,15
300083.SZ,15
000540.SZ,15
000915.SZ,15
000939.SZ,15
002251.SZ,15
000564.SZ,15
300310.SZ,15
300053.SZ,15
300008.SZ,15
300028.SZ,15
300220.SZ,15
300025.SZ,15
002687.SZ,15
000036.SZ,15
002420.SZ,15
002145.SZ,15
600406.SH,15
000543.SZ,15
601158.SH,15
300079.SZ,15
300166.SZ,15
300123.SZ,15
000404.SZ,14
000498.SZ,14
000096.SZ,14
002755.SZ,14
300201.SZ,14
002564.SZ,14
002371.SZ,14
002225.SZ,14
300198.SZ,14
000902.SZ,14
000059.SZ,14
000888.SZ,14
002127.SZ,14
300160.SZ,14
300093.SZ,14
002627.SZ,14
002333.SZ,14
000731.SZ,14
002040.SZ,14
002264.SZ,14
000605.SZ,14
002453.SZ,14
000723.SZ,14
000722.SZ,14
300333.SZ,14
000666.SZ,14
300213.SZ,14
000679.SZ,14
002032.SZ,14
600009.SH,14
002500.SZ,14
002337.SZ,14
002661.SZ,14
300082.SZ,14
002155.SZ,13
000789.SZ,13
000726.SZ,13
002547.SZ,13
000690.SZ,13
000738.SZ,13
002653.SZ,13
002528.SZ,13
002534.SZ,13
002097.SZ,13
002269.SZ,13
000672.SZ,13
000838.SZ,13
000671.SZ,13
300309.SZ,13
002542.SZ,13
002446.SZ,13
002516.SZ,13
000561.SZ,13
000070.SZ,13
002002.SZ,13
002599.SZ,13
002660.SZ,13
002473.SZ,13
300104.SZ,13
002147.SZ,13
300127.SZ,13
002330.SZ,13
002604.SZ,13
000659.SZ,13
002197.SZ,13
002323.SZ,13
300041.SZ,12
