,num_factor,mkt_cap,医药生物,机械设备,电气设备,电子,农林牧渔,非银金融,有色金属,传媒,房地产,化工,建筑材料,通信,商业贸易,计算机,公用事业,建筑装饰,纺织服装,轻工制造,汽车,食品饮料,交通运输,国防军工,综合,休闲服务,采掘,家用电器,银行
2013-01-31,0.9290707919149621,-2.074209921418355,5.357308544501496,3.7013678344466183,3.770993907167731,6.337042007767618,1.0436071905685909,0.5207414905623767,2.7526923296318944,6.7315937072249925,0.9608320911185988,3.3166966394002064,-0.42533750760626554,4.522351752780841,1.6658181327838688,5.400582643658888,6.674667592331819,3.4931302880850645,1.6239168608123735,1.3911946021802208,2.056202337049379,3.3578311295660996,0.05267999234620056,0.918322131858004,0.6877982253539432,-0.21795385577697768,-0.14802574892090964,2.5660680456008365,-0.288228433413163
2013-02-28,0.8324078531352201,1.334980431781113,2.8214307113216472,-4.085229236921577,-2.4859678900757753,3.0079816012037064,-4.749489429380144,-2.9562264263032096,-4.240090131833962,-1.3550302586135665,-4.802747642012307,-1.4486463530757412,-3.425645001494165,1.4335151810538906,-2.515364317137783,-1.6630418023577747,-0.019038329446987017,-2.8514477250525836,-2.7590337597642796,-0.922473660752675,-3.324261035822472,-0.7982501221402158,-1.0116484858889245,-2.4282407635312997,-1.8337111285755145,-0.2704995991130444,-1.3011366460064022,-0.24123069774284453,-1.0729402708156632
2013-03-31,1.198284636317951,0.9742188374196339,-2.3685238573679017,-4.02980736815245,-1.0590788026364302,-1.2043935860224653,-0.6403706559252138,-0.5637608779155954,-2.6934434565015537,1.6735792422437443,1.1933689266591874,-2.5997762655652745,-0.16061249663672175,-0.8531672157232646,-0.07584368959629732,-1.4962114865382687,-1.2154829237331908,-0.28211145927141207,-1.7833079384753192,0.0945300872841399,0.474678632383549,-2.4550476216265604,0.027071341918979988,-2.5484410230531456,-0.16187400349418757,-2.0966582167531476,0.5872970327895604,1.432604584780935,-0.5060299467349404
2013-04-30,0.1191506733851656,-3.867580901786894,12.369469962421702,12.8326392081343,11.217621418345546,14.21592436909481,4.273191009353008,1.5599518336441285,5.733809394203101,9.78945371989333,6.4105089663244605,9.409056001851571,4.808976440681198,9.456569480012737,4.688101842196402,17.35114493749802,9.425391334968351,6.458843931240091,4.1353931724058715,5.7946214285441995,7.618253333052771,4.629588227091489,3.2659704362754547,4.968946070048605,1.9650606077531405,2.5526314189679282,1.3361039819839322,5.765877628536091,0.6321762962318573
2013-05-31,1.4941637812526363,1.5222824440453155,-11.681619489393329,-13.353531068774046,-9.89430077001366,-9.576415419349786,-8.1786939546696,-4.525664532216079,-11.849273807185975,-3.9512724806294566,-7.604959287666091,-15.04918478274236,-7.487788843220484,-5.744550030214562,-6.250639511290908,-7.243945136105816,-6.86039830373139,-8.27258464405414,-7.916961332128162,-8.800250231411509,-10.499925544056731,-6.756318957802246,-5.235609940352095,-5.873772981995701,-2.7165918835175735,-4.475188419079299,-3.4534175758596555,-6.618221473823518,-2.1389895013606677
2013-06-30,0.3222729297673149,-5.189931682076739,8.131895395830712,6.27096088017556,4.144265922064539,6.746601633820166,1.505890378635294,1.1319328290398747,3.000550221286821,9.531308736690299,0.7060009839539331,4.81048212474904,1.9284155072022886,5.048122888074224,2.3610425585013552,11.8982321995922,3.9207804975517093,-0.48228639448310767,1.9293775230557735,4.640761113465769,2.475005389260861,2.4895705330081004,0.9218829730834001,1.1465803848314295,1.1015420937181215,2.795997283198234,0.10582534498627508,3.853686527884823,0.18259857411258157
2013-07-31,1.3605280817685226,-3.0937133060180435,2.9467015475257723,2.9897676625785548,2.767692848449166,3.50332776634202,2.6470012124644913,1.9164657441652373,3.139987342612059,6.491073853283891,3.8531109767280705,4.676585390448082,1.5590387547819151,3.109104624633743,4.505217586115489,5.472035556554346,0.36709230146297916,2.3826916279553236,2.0476526445239953,2.5795075476756577,3.529510363083636,1.8574781017645163,3.1203907660749093,1.50995754988428,1.9485804784611644,3.0166459096730307,1.0216171727217356,1.249196873504391,0.7644970422729748
2013-08-31,1.9909952485436408,-1.9773817540744776,8.528353749246554,3.5203528849367487,5.296457792918877,3.3069976897621456,1.538162786753087,0.036948687127186366,0.40848562887534573,8.065414795298008,-0.5343493333819536,2.7906207131324043,0.34779856691516725,3.82145227276262,6.2314293591337755,8.004914491579918,3.3709961688375083,0.13122050753850936,2.656348849682262,3.3601490017195803,1.3405597057898946,3.5240697882765533,1.1965646197116642,0.873735887544354,1.7288310802355253,1.8020409145844527,1.2375875335603856,4.247333087186896,0.3353811322367573
2013-09-30,-0.19631443271779428,-2.9571024773121617,-4.961246712413347,-0.7946847192973708,-1.570686912756244,-5.348355451243011,-0.3152754612730892,-0.3088042441058198,-2.6225197669521254,-4.277310168202266,-1.7299984685789562,-1.9468092399704577,0.4531797585759625,-4.511758842159961,-1.2893454741515216,-6.681372680832767,2.2571433987697587,-0.20289015671709473,-0.6011182612413247,-1.701378233619925,1.3339458090986467,-1.8023213059114582,-0.4803765868203654,-0.48793983076221464,-0.6552036974415962,-1.7122552713204156,-0.22610325249140042,1.9014364979175287,0.5546073072203671
2013-10-31,0.8265949736426018,-9.246116695851331,7.218154424070388,8.428030967578383,4.358868052939438,9.871613299310717,4.43219511066343,1.6083555704382648,3.091243970228823,5.92523868037411,0.2286184897057942,7.371832032792992,2.341751750641926,7.139966447401546,2.088351424978325,12.240909519880143,2.884687547052373,3.6936773369145266,2.366199544930688,4.817351061171063,2.924098219034345,3.2720925231753957,2.4147067079343487,4.852599435312478,0.9133138239254872,0.6726827013262565,1.80674938333086,5.905506198248517,0.6429980591947352
