,Adj_R,Num_Cap_coef,IC,Rank_IC,Factor_Ret
2013-02-28,,,0.030448746176487254,0.023159713330056217,0.0029321952146757015
2013-03-31,,,0.026617672904207756,0.031793572275253666,0.002656353314077942
2013-04-30,,,0.040007421062259046,0.01859355680554779,0.0035418410909753544
2013-05-31,,,0.0010051582324308945,-0.03036020323305003,0.0004811806384850564
2013-06-30,,,0.04793948505445238,0.06081392156867091,0.004756621292469346
2013-07-31,,,0.011260240215972267,0.00287957844255919,0.0013058063902360265
2013-08-31,,,0.04608079597840562,0.06072277578959562,0.005934083148158169
2013-09-30,,,0.06603998891105245,0.03655668639085316,0.008226816648338235
2013-10-31,,,-0.006351851307586976,0.028408290933604283,-0.0006961565257080024
2013-11-30,,,0.02693627177903119,-0.014798012947274411,0.003202518417072748
2013-12-31,,,-0.038666918854673014,-0.03282390850560622,-0.003448737567721495
2014-01-31,,,0.07943381101877448,0.06056886268002781,0.011938151473149531
2014-02-28,,,-0.01930151893326537,-0.00327717488047478,-0.002776286882941113
2014-03-31,,,-0.015820581213163903,-0.054096376827279254,-0.0014456388923169833
2014-04-30,,,-0.07844025242266799,-0.08879939728798826,-0.0074402408414559066
2014-05-31,,,0.04744337105210107,0.03940609375223,0.004320155067200038
2014-06-30,,,0.031998211478589965,0.049572488489326993,0.003368618682231055
2014-07-31,,,-0.0518629729413774,-0.05843167653232495,-0.00635646851136046
2014-08-31,,,-0.06196269712769561,-0.03089330812736932,-0.005929900867095682
2014-09-30,,,-0.027462133953401725,-0.00234059824666821,-0.0038232043056131895
2014-10-31,,,-0.071847644926183,-0.06323892876046816,-0.006789812578795042
2014-11-30,,,0.013108505383608996,0.018249686822428536,0.0016053896721659737
2014-12-31,,,-0.05550226553763546,-0.06395266346191127,-0.007966323839706918
2015-01-31,,,0.08772913351760031,0.07824938472953724,0.009794762024335189
2015-02-28,,,0.04474863537402907,0.04594168625862866,0.005113338273329405
2015-03-31,,,0.0065926193504933376,-0.0001905826362965841,-0.00021661891229808605
2015-04-30,,,-0.02195518088111617,0.00835622200296083,-0.00567109815516483
2015-05-31,,,0.015908100722077326,0.04082420743860945,0.007585384718601999
2015-06-30,,,-0.10587017840624878,-0.1378053199571317,-0.029382615217930903
2015-07-31,,,-0.02594526764767049,-0.012977653349360093,-0.00592768960744794
2015-08-31,,,0.012152089620687123,-0.1045537642514941,0.0026785283899895124
2015-09-30,,,0.055156626866908885,0.07086570150055115,0.0077152889398369815
2015-10-31,,,0.0642103821267349,0.04386353256908176,0.01116135119227129
2015-11-30,,,0.0632726359094831,0.032712970309653824,0.012470768957183648
2015-12-31,,,-0.04216030691981197,-0.0356592497538996,-0.0063953748665150105
2016-01-31,,,-0.07052209487307877,-0.04009821107332022,-0.009756521654379513
2016-02-29,,,-0.04930592191534368,-0.06292508530451084,-0.005015062095401415
2016-03-31,,,0.04572630707244952,0.03855481463530357,0.007143747142805348
2016-04-30,,,-0.0031922543590586707,-0.012630309999946784,-0.0006800568830773812
2016-05-31,,,0.020683733363163412,0.02361374264714652,0.0020384449873070047
2016-06-30,,,0.012137248704842084,0.005390516129111803,0.0018725947126864047
2016-07-31,,,-0.06253955317549066,-0.06828234772076443,-0.006293211660954902
2016-08-31,,,-0.015378535218893007,-0.022031850794179325,-0.0010438472534272914
2016-09-30,,,-0.01605015266893464,-0.032768074732380775,-0.0012445564866464254
2016-10-31,,,-0.01724004159446196,0.0005777178007038963,-0.0017697964270216879
2016-11-30,,,0.003363241189312574,-0.001796755191213838,0.0003417845084194086
2016-12-31,,,0.02945484903659209,0.05414324405360325,0.0027215251865666144
2017-01-31,,,-0.004580235018643643,0.0025776117060838217,-0.0004758946780287393
2017-02-28,,,0.0243116515349461,0.03612018728655341,0.0020955881880352105
2017-03-31,,,0.03849212642466848,0.06804741243387458,0.0031291133382524384
2017-04-30,,,0.05251960793162685,0.03045137201818546,0.005323018392595875
2017-05-31,,,0.021633807939225955,0.02395759022332908,0.0017858126113456008
2017-06-30,,,0.009180550356741398,-0.005025947620128836,0.0007246926158249169
2017-07-31,,,0.02106593026636573,0.01926739136833088,0.0023652300810742804
2017-08-31,,,0.027705647912055226,0.029925539383318094,0.002107776807386686
2017-09-30,,,0.0204388878949209,0.014573450184141742,0.0018935438150172999
2017-10-31,,,0.12158091388527724,0.10802796829237293,0.011095025005609417
2017-11-30,,,-0.013188384204130843,-0.02186564678746736,-0.0011557866834326683
2017-12-31,,,0.06768530743343705,0.03317639960266273,0.005664643003665563
2018-01-31,,,0.010707871806876183,-0.009060837763036903,0.001246591430318172
2018-02-28,,,0.07515307637960977,0.06345875503876212,0.0068095974961909006
2018-03-31,,,0.03951110785618021,0.05518903738561765,0.004821028400489554
2018-04-30,,,0.04424736522138738,0.06415120661252204,0.004214518927550801
2018-05-31,,,0.05590780326197644,0.05052498031366472,0.006813279660632559
2018-06-30,,,0.06566027333524764,0.07033863770225522,0.00699207684563443
