,avgIC,IC_IR
0,1.3669788297788479,0.2716114803999594
1,1.553601411504702,0.3593768887084666
2,1.2542045498437067,0.2792970122048619
3,0.8296715385759691,0.17499287937881422
4,0.4055952626078582,0.09130277389857622
5,0.3128832758433914,0.07267117351019109
6,0.2788794555931041,0.06751475152261438
7,0.22480074674173806,0.05880821035567517
8,-0.1753241209072968,-0.04818593978495624
9,-0.18982996874369418,-0.04807820728448448
10,0.297288466387176,0.06594799665402751
11,-0.2788398804402359,-0.06894500256009678
