,avgIC,IC_IR,abs_T_greater2,factor_return
0.25,0.34003172064316844,0.07380046647973217,0.13846153846153847,0.022931980300301212
0.5,0.5541522101948165,0.11406003270628044,0.13846153846153847,0.052726238197760796
0.75,0.6826983611904808,0.13769864005338908,0.16923076923076924,0.07468719796741177
1.0,0.8086717151783218,0.1610564112457943,0.2,0.09048630535721004
1.5,1.0653622677912291,0.20533992367678017,0.18461538461538463,0.11157055422814678
2.0,1.2133651493692184,0.22890375447549255,0.18461538461538463,0.12117750241462785
3.0,1.3327789960605614,0.24530901961037652,0.18461538461538463,0.12115149959300979
6.0,1.3953934224777693,0.25426288706616984,0.15384615384615385,0.10031506428736202
8.0,1.4347641940532023,0.26039816486841905,0.18461538461538463,0.09226935094002274
