,avgIC,IC_IR,abs_T_greater2,factor_return
300,1.069192077755596,0.1781234999433488,0.06153846153846154,0.09707514006919772
400,1.3633406736889624,0.23244797554637767,0.1076923076923077,0.11233306467393275
500,1.5832521959126038,0.30075416664838966,0.13846153846153847,0.1188887994663231
600,1.3669788297788479,0.2716114803999594,0.15384615384615385,0.14884479180113766
700,1.3943744548597905,0.2839237622804575,0.18461538461538463,0.16664396387659977
800,1.2215947473440922,0.2510765616385774,0.16923076923076924,0.14029427677366077
1000,0.8067178164572019,0.17825962702654213,0.18461538461538463,0.09221482918079504
1200,0.7519476964692361,0.17487804071508303,0.13846153846153847,0.07400067023035276
1500,0.7510326427151472,0.17434975564241623,0.23076923076923078,0.05587017650576104
1800,0.7143305374033815,0.17052915338763922,0.24615384615384617,0.060460719185528235
