,0,1,2,3,4
300,0.18821307566651346,0.1626623851783906,0.14674830824638585,0.15516376097744056,0.15083332328540774
400,0.19063593275502225,0.15502723233482207,0.15556154595922125,0.13714508360645072,0.14020736860662208
500,0.2212016829820216,0.19505159214905946,0.18769099434580008,0.1240864400039896,0.12244551585203013
600,0.22284472849535586,0.17519727713538358,0.1875428936086425,0.13814289021651385,0.10824324198140922
700,0.2162440080276571,0.1862914943108596,0.17663332860310765,0.12972536391558664,0.11865855676237902
800,0.18119744914585234,0.181412540309748,0.20443314357123052,0.134661875818594,0.12006196220420427
1000,0.19848048199914525,0.20090713313154152,0.17541983818340026,0.1267391569149232,0.12721778031750408
1200,0.20886476778120436,0.22354525025323868,0.17675363288569154,0.13552571097092406,0.13373113347851406
1500,0.18376747533389048,0.23912379535695005,0.1829632649531188,0.14400956973735268,0.13660586895427684
1800,0.17665007824501422,0.24888496135637395,0.21580281398590184,0.13501534501161516,0.11868789851477303
