,0,1,2,3,4
0.5,0.2145808171099346,0.2315163774711815,0.14719865700751056,0.14276153727932095,0.13007167072791348
0.75,0.19642064766544756,0.25750390662367995,0.1388211797843264,0.1405061235861449,0.1339973589528507
1.0,0.216804205582108,0.2439542458113808,0.14589156400506376,0.14553986920143736,0.1144844114291932
1.5,0.19575954322821976,0.24630780101601024,0.1740605670475901,0.13384031400516785,0.11677304447507607
2.0,0.2119055453872769,0.23010805331195994,0.1769867091374775,0.13234003035250774,0.1151616145205765
3.0,0.1924755379094243,0.2352445438776729,0.19013885543922848,0.12383620006367567,0.12444679063137397
5.0,0.19291857299053627,0.21346640477971146,0.2233038710100741,0.098388103344339,0.13919417388937005
6.0,0.19348754258672574,0.20906482591944964,0.2228446533208155,0.10247004598424804,0.1389651277355568
8.0,0.1899203890657326,0.1994539482368456,0.2308572893097587,0.11185199173335136,0.13396550322210074
10.0,0.18983751528922646,0.19355266660421575,0.23228878835031466,0.11640100142192987,0.13378895212913156
