,avgIC,IC_IR
0,0.5140044661112736,0.09135958863302686
1,1.3206282004957621,0.28970294012273234
2,1.165914286912448,0.28920569844782945
3,0.7804628548395809,0.19322380201386868
4,0.7432144834023665,0.1692983711029011
5,-0.006402383462543148,-0.0014184424622004943
6,-0.1326392258906695,-0.026211293818008463
7,-0.4413002593140382,-0.09622554514112827
8,-0.604015822750205,-0.136548534445643
9,-0.9302349878507696,-0.20030453872266632
10,-0.10299573023043986,-0.023890430206385708
11,0.04788896897561539,0.011509117186385741
