,0,1,2,3,4
0,0.22218980021017853,0.1943927953580744,0.13924002633972998,0.1316742400076314,0.12452072799262726
2,0.22975175500568398,0.18216521439170694,0.14451255495938686,0.1226444517730072,0.1331744795008638
5,0.22528627275303714,0.1795744222589417,0.1500615175505613,0.11873816323510122,0.13861006346109228
8,0.2288830028072695,0.17736297673279974,0.15047825955447247,0.1266351152718641,0.12884061501363675
10,0.23843869535805506,0.17782437128188078,0.1442210374576436,0.12512182769017288,0.12709456638744188
15,0.20429589153523708,0.16128509056144935,0.18022242028902147,0.14053991359430795,0.12579091993227753
20,0.195406129349164,0.18709808713532736,0.1709950884313549,0.13481933333545704,0.1236683238533154
30,0.1773892908429886,0.19932234832161688,0.16226563855029252,0.15065456465166285,0.12234754517754975
45,0.1830709720790249,0.20475062990511386,0.16156543607006113,0.14357497024499355,0.119022595487847
50,0.1950133112850867,0.18671134011002846,0.165259336694215,0.15642181066501615,0.10863594401538346
