,avgIC,IC_IR,abs_T_greater2,factor_return
6,1.2133651493692184,0.22890375447549255,0.18461538461538463,0.12117750241462785
8,1.2133651493692184,0.22890375447549255,0.18461538461538463,0.12117750241462785
10,1.2133651493692184,0.22890375447549255,0.18461538461538463,0.12117750241462785
12,1.2133651493692184,0.22890375447549255,0.18461538461538463,0.12117750241462785
15,1.2133651493692184,0.22890375447549255,0.18461538461538463,0.12117750241462785
20,1.2133651493692184,0.22890375447549255,0.18461538461538463,0.12117750241462785
25,1.2133651493692184,0.22890375447549255,0.18461538461538463,0.12117750241462785
30,1.2133651493692184,0.22890375447549255,0.18461538461538463,0.12117750241462785
35,1.2133651493692184,0.22890375447549255,0.18461538461538463,0.12117750241462785
40,1.2133651493692184,0.22890375447549255,0.18461538461538463,0.12117750241462785
