,0,1,2,3,4
300,0.1791298195790918,0.19169571188451304,0.15924033156095785,0.12496467677695612,0.11731004742514872
400,0.17619161946239134,0.21818257987085052,0.1571623800055748,0.13686234901958594,0.12322370608686305
500,0.18830884388618307,0.18810936504268505,0.1474088081839362,0.1381884768341537,0.12890259006115468
700,0.18769183432830205,0.1957778295212138,0.19604080135408952,0.15330628485152942,0.12639654297339287
900,0.1970549415469469,0.19636298261729607,0.20612234473381494,0.1575438498243722,0.12661715605547366
1000,0.1924755379094243,0.2352445438776729,0.19013885543922848,0.12383620006367567,0.12444679063137397
1200,0.2127631442013893,0.20208655526585464,0.2071973477965905,0.15126026740431464,0.13051658350015294
1500,0.1903925185938493,0.20451878374430169,0.2040180844195936,0.1596346149237633,0.12797587690796086
1800,0.1906358571791857,0.19301831233558972,0.2219411253929877,0.15921625244284776,0.1264596269341134
2000,0.16981690309211306,0.22167037169042286,0.2541294904606275,0.13707189139796827,0.11454829520125598
