,avgIC,IC_IR,abs_T_greater2,factor_return
6,1.3669788297788479,0.2716114803999594,0.15384615384615385,0.14884479180113766
8,1.3669788297788479,0.2716114803999594,0.15384615384615385,0.14884479180113766
10,1.3669788297788479,0.2716114803999594,0.15384615384615385,0.14884479180113766
12,1.3669788297788479,0.2716114803999594,0.15384615384615385,0.14884479180113766
15,1.3669788297788479,0.2716114803999594,0.15384615384615385,0.14884479180113766
20,1.3669788297788479,0.2716114803999594,0.15384615384615385,0.14884479180113766
25,1.3669788297788479,0.2716114803999594,0.15384615384615385,0.14884479180113766
30,1.3669788297788479,0.2716114803999594,0.15384615384615385,0.14884479180113766
35,1.3669788297788479,0.2716114803999594,0.15384615384615385,0.14884479180113766
40,1.3669788297788479,0.2716114803999594,0.15384615384615385,0.14884479180113766
