,avgIC,IC_IR,abs_T_greater2,factor_return
0.5,0.38422341430146384,0.090144381459082,0.12307692307692308,0.07297999378510828
0.75,0.5835790516160604,0.13258697979541628,0.13846153846153847,0.09284758156348548
1.0,0.7551606043584819,0.1657261492399519,0.16923076923076924,0.10785936209323561
1.5,1.0018322751823345,0.20978198002526152,0.15384615384615385,0.1272882563084629
2.0,1.1331122495627697,0.228559277836776,0.15384615384615385,0.1372047635153708
3.0,1.2554091085134709,0.24284424191860968,0.16923076923076924,0.14081329918482188
5.0,1.2880641075489772,0.24103838844652967,0.2153846153846154,0.1265707091951198
6.0,1.2748750414205512,0.2377708781631902,0.23076923076923078,0.11971971567306698
8.0,1.2535422421440159,0.23311700826711979,0.24615384615384617,0.10930812368111838
10.0,1.2512654484949128,0.23214272331403882,0.24615384615384617,0.10145376733978248
