,0,1,2,3,4
300,0.1609509664290747,0.17737615911687876,0.18647089069309586,0.14984793955430264,0.09987710939881599
400,0.19058418239593666,0.20741800941536748,0.2055352153980468,0.14284279554483614,0.102403545410249
500,0.1891057177629678,0.18285761039820514,0.1965914451664017,0.15264792100730729,0.11382568962322105
600,0.19384809219611232,0.19226909603643286,0.19220406390088815,0.1461346547057314,0.1181186828873464
700,0.1643395808061232,0.2020372648528828,0.22509354622153646,0.1540439988154958,0.13784538876663574
800,0.17756701812063858,0.21179543772208784,0.19280535133451585,0.1591127227017628,0.14793110527520348
1000,0.19222134811576666,0.20501964048339105,0.16603430683267906,0.19233676452291595,0.13967591278011415
1200,0.16743529710071448,0.20985145555417795,0.19566991056344185,0.1708510464392412,0.15020024043496938
1500,0.16461129293058807,0.2298041286135115,0.21237333638733905,0.1908445031236543,0.13275500957768285
1800,0.15491149885635558,0.2385611144426165,0.20020600301612768,0.1938038905379336,0.1524636819748728
