,avgIC,IC_IR,abs_T_greater2,factor_return
0,1.2554091085134709,0.24284424191860968,0.16923076923076924,0.14081329918482188
1,1.3077687736700698,0.2750268487256689,0.1875,0.14142232450336578
2,1.6137143198534358,0.3353742629684861,0.1746031746031746,0.13979662219310404
3,1.3432741199616225,0.27746580807571763,0.24193548387096775,0.16848642596347257
4,0.9967482755959496,0.20620576258298087,0.14754098360655737,0.12586461982228522
5,0.6043789402810505,0.1348983434866274,0.15,0.08480443378831494
6,0.06169758217648929,0.013841345749783714,0.1016949152542373,0.016101332954979685
7,-0.3267992699477698,-0.08533746356682831,0.06896551724137931,-0.01659784914088358
8,-0.12105232244861176,-0.033757203005463796,0.10526315789473684,-0.021869645966805174
9,0.19591824613437014,0.054918946000465325,0.08928571428571429,-0.013800569792444527
10,0.10056049847491871,0.029327033892408746,0.09090909090909091,-0.010589687766972064
11,0.15956498887664114,0.04718313915405627,0.07407407407407407,0.013756524123869119
