,avgIC,IC_IR,abs_T_greater2,factor_return
0.25,0.21703391191667679,0.04497890130025079,0.13846153846153847,0.04684861676717398
0.5,0.43454869067730784,0.08489371024313176,0.12307692307692308,0.07267403037686926
0.75,0.5735396931886123,0.11033850732477836,0.15384615384615385,0.0914762357684326
1.0,0.7423380024546783,0.1407412050950985,0.15384615384615385,0.10523206158942582
1.5,0.9492667178795834,0.1753937508202937,0.16923076923076924,0.12163142144543405
2.0,1.0648103361772083,0.19234516395428153,0.16923076923076924,0.12831768867612442
3.0,1.1943261565161931,0.21002391905146453,0.16923076923076924,0.12724694516342464
6.0,1.2801481415265814,0.22359829247428342,0.18461538461538463,0.11074704710146606
8.0,1.3087702334785296,0.2276021011178981,0.2,0.10413875384669698
