,0,1,2,3,4
300,0.15936184678729748,0.12488697235149472,0.11996792495821595,0.1400087098670897,0.1458039893213292
400,0.18498733602105344,0.16342793090594074,0.14804379256441336,0.1227996154164428,0.12092040564669815
500,0.19262310670669192,0.17586572323557448,0.14910025357341206,0.12129054264170967,0.1239657766264206
600,0.2070012849947376,0.1690373359824331,0.15175380355080234,0.10292750038279364,0.13483384286849653
700,0.20765854675183196,0.1800314187153249,0.1684721141450527,0.11217617440256687,0.1302502413129727
800,0.20294284291868592,0.14900726673290188,0.17970626006391566,0.1108643403710068,0.14964264770423918
1000,0.1737448808392832,0.15147315110601278,0.15380587417100955,0.13175845409961018,0.15851591106850416
1200,0.16245616336316115,0.18138680383919906,0.16044392111452632,0.16108881999812194,0.15823525085485055
1500,0.1691553244349473,0.20494379990754766,0.17413168879083396,0.17497809322678706,0.1462903875203876
1800,0.1568725457240363,0.22178950184763035,0.19561595912707164,0.15658144328682022,0.1319457965324662
