,0,1,2,3,4
6,0.19384809219611232,0.19226909603643286,0.19220406390088815,0.1461346547057314,0.1181186828873464
8,0.19384809219611232,0.19226909603643286,0.19220406390088815,0.1461346547057314,0.1181186828873464
10,0.19384809219611232,0.19226909603643286,0.19220406390088815,0.1461346547057314,0.1181186828873464
12,0.19384809219611232,0.19226909603643286,0.19220406390088815,0.1461346547057314,0.1181186828873464
15,0.19384809219611232,0.19226909603643286,0.19220406390088815,0.1461346547057314,0.1181186828873464
20,0.19384809219611232,0.19226909603643286,0.19220406390088815,0.1461346547057314,0.1181186828873464
25,0.19384809219611232,0.19226909603643286,0.19220406390088815,0.1461346547057314,0.1181186828873464
30,0.19384809219611232,0.19226909603643286,0.19220406390088815,0.1461346547057314,0.1181186828873464
35,0.19384809219611232,0.19226909603643286,0.19220406390088815,0.1461346547057314,0.1181186828873464
40,0.19384809219611232,0.19226909603643286,0.19220406390088815,0.1461346547057314,0.1181186828873464
