,avgIC,IC_IR,abs_T_greater2,factor_return
6,0.5140044661112736,0.09135958863302686,0.15384615384615385,0.1259809672076932
8,0.5140044661112736,0.09135958863302686,0.15384615384615385,0.1259809672076932
10,0.5140044661112736,0.09135958863302686,0.15384615384615385,0.1259809672076932
12,0.5140044661112736,0.09135958863302686,0.15384615384615385,0.1259809672076932
15,0.5140044661112736,0.09135958863302686,0.15384615384615385,0.1259809672076932
20,0.5140044661112736,0.09135958863302686,0.15384615384615385,0.1259809672076932
25,0.5140044661112736,0.09135958863302686,0.15384615384615385,0.1259809672076932
30,0.5140044661112736,0.09135958863302686,0.15384615384615385,0.1259809672076932
35,0.5140044661112736,0.09135958863302686,0.15384615384615385,0.1259809672076932
40,0.5140044661112736,0.09135958863302686,0.15384615384615385,0.1259809672076932
