,avgIC,IC_IR
0,1.2133651493692184,0.22890375447549255
1,1.1844013049527988,0.2770349614737178
2,1.1855655238859837,0.2639249278039387
3,0.9109416095802556,0.1965707651802859
4,0.7188273472208734,0.164180881996609
5,0.6652341466068616,0.14086268419508588
6,0.18429925837426922,0.04032715226516303
7,-0.12501589740911725,-0.02927698820283667
8,-0.14410675895505046,-0.03441717340071905
9,-0.009453956949534126,-0.0021862575614800253
10,0.13288793482182432,0.03367689386338434
11,-0.18370289552762478,-0.047362737952338606
