,0,1,2,3,4
300,0.1762423682199119,0.1525390100597379,0.15090498630521254,0.1265679899265273,0.1367751528378358
400,0.1898603672286987,0.17451382432861615,0.16104153454823567,0.13336838304055346,0.13609296969375273
500,0.22010842376764492,0.18930852523803174,0.16677991514294965,0.1282940833562991,0.13225917983166702
600,0.22975175500568398,0.18216521439170694,0.14451255495938686,0.1226444517730072,0.1331744795008638
700,0.2252927836079939,0.1843590569167508,0.16898621305694173,0.11920145625405798,0.12874317212957356
800,0.19611670315301355,0.18726036988856887,0.1980254282565708,0.12316653737831462,0.13003330004854294
1000,0.18721423090322695,0.21913754294953725,0.19201450750040272,0.11622973545386528,0.13514085382580746
1200,0.21409338662393676,0.2395573419485077,0.16490218652616373,0.1355301120929624,0.14035994437187438
1500,0.19728170200922454,0.2261106625326854,0.190465927471986,0.13753277414425358,0.13124900588421062
1800,0.2030660234606656,0.2299904316644599,0.2024836036850184,0.13252576185734188,0.12590012058773234
