,avgIC,IC_IR,abs_T_greater2,factor_return
300,0.779821884803038,0.1033451991469261,0.16923076923076924,0.0858381045005133
400,1.159909311379598,0.16910442206406334,0.18461538461538463,0.1179869073420073
500,1.3409994960142855,0.21658303732019935,0.23076923076923078,0.1558335553774748
600,1.2133651493692184,0.22890375447549255,0.18461538461538463,0.12117750241462785
700,1.0212360516200936,0.1916121349318774,0.18461538461538463,0.14802536344142658
800,1.043467914723149,0.1970728981546215,0.15384615384615385,0.12984270818135943
1000,0.9629212551308044,0.1958668842629409,0.2,0.11877225668645938
1200,0.874593187038188,0.18576468834720355,0.2,0.10250129006510651
1500,0.7941759979774562,0.17660451864523966,0.27692307692307694,0.07639854813261408
1800,0.7261158642335674,0.17094853000698154,0.27692307692307694,0.06680314603122883
