,0,1,2,3,4
0,0.19260062672656764,0.22171043922916533,0.2092425710955748,0.11961545678201445,0.1231700257435171
2,0.1924755379094243,0.2352445438776729,0.19013885543922848,0.12383620006367567,0.12444679063137397
5,0.18781182707963492,0.2269230201261581,0.2010529938364816,0.12380147376170947,0.12598176214456025
8,0.18655261479516286,0.2150145897283904,0.2324604856712684,0.10675892071505144,0.12648049202041411
10,0.18188670043622168,0.2628863151105867,0.18269790087282867,0.11720710595520778,0.12293249539514715
15,0.1819105522846172,0.2430072868935389,0.19272561886167816,0.1333661810655835,0.1157504095733266
20,0.18983036550575694,0.22006241973065,0.2095143311916865,0.12561017555397647,0.1215788524132344
30,0.18639466545603067,0.1932404962313317,0.24443347797141304,0.13203563100547802,0.11111394181756597
45,0.17711412600036236,0.2367729615263383,0.20566094408324245,0.1289882925833452,0.11903910677169872
60,0.17998477545952565,0.2159983017866796,0.1929469300693838,0.1752162543563227,0.10245184009505692
