,avgIC,IC_IR
0,1.0648103361772083,0.19234516395428153
1,0.8462149511911817,0.19544770372033674
2,1.068199412594136,0.23420093409482717
3,0.8108984242024216,0.16937253235852592
4,0.607343570044107,0.1308183262739775
5,0.5742906198140713,0.12252760914573611
6,0.06994997515551739,0.014719020628189408
7,-0.40211062296220057,-0.0924705862098743
8,-0.24945474188090483,-0.05865766545957056
9,0.0008519484108196721,0.000191789800859
10,0.17476244682980024,0.044328814148961664
11,-0.11043796017930432,-0.030779799217882497
